name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Oozora to Daichi no Naka de,0.406,0.546,6,-8.843,1,0.0346,0.0761,0,0.122,0.292,142.478,audio_features,5bDllmKjYAs975cpujy9Xl,spotify:track:5bDllmKjYAs975cpujy9Xl,https://api.spotify.com/v1/tracks/5bDllmKjYAs975cpujy9Xl,https://api.spotify.com/v1/audio-analysis/5bDllmKjYAs975cpujy9Xl,241728,4
長い夜,0.541,0.838,7,-7.457,1,0.0367,0.175,0,0.326,0.354,133.609,audio_features,6Jrn9MuowbqcG0iGOPui0d,spotify:track:6Jrn9MuowbqcG0iGOPui0d,https://api.spotify.com/v1/tracks/6Jrn9MuowbqcG0iGOPui0d,https://api.spotify.com/v1/audio-analysis/6Jrn9MuowbqcG0iGOPui0d,303040,4
旅立ち,0.509,0.467,4,-7.34,0,0.028,0.673,1.03e-05,0.212,0.276,114.405,audio_features,6XH24KLjFdlG4V9tUPJS9y,spotify:track:6XH24KLjFdlG4V9tUPJS9y,https://api.spotify.com/v1/tracks/6XH24KLjFdlG4V9tUPJS9y,https://api.spotify.com/v1/audio-analysis/6XH24KLjFdlG4V9tUPJS9y,183667,4
長い夜,0.549,0.682,7,-11.259,1,0.0297,0.231,6.12e-06,0.339,0.52,133.61,audio_features,4R9umA1BrylAFA8zuw1RoZ,spotify:track:4R9umA1BrylAFA8zuw1RoZ,https://api.spotify.com/v1/tracks/4R9umA1BrylAFA8zuw1RoZ,https://api.spotify.com/v1/audio-analysis/4R9umA1BrylAFA8zuw1RoZ,302867,4
Tabidachi,0.536,0.433,4,-10.459,0,0.0257,0.396,0,0.186,0.487,106.305,audio_features,0a0E3rvEIkHlXeiNciPjLB,spotify:track:0a0E3rvEIkHlXeiNciPjLB,https://api.spotify.com/v1/tracks/0a0E3rvEIkHlXeiNciPjLB,https://api.spotify.com/v1/audio-analysis/0a0E3rvEIkHlXeiNciPjLB,188235,4
愛は…,0.686,0.778,11,-6.905,0,0.0567,0.44,0.000479,0.05,0.731,122.375,audio_features,2JVu2V8wjQJebBbY7U4leZ,spotify:track:2JVu2V8wjQJebBbY7U4leZ,https://api.spotify.com/v1/tracks/2JVu2V8wjQJebBbY7U4leZ,https://api.spotify.com/v1/audio-analysis/2JVu2V8wjQJebBbY7U4leZ,258933,4
君を忘れない,0.266,0.34,7,-10.197,1,0.0315,0.578,1.61e-05,0.148,0.0886,138.395,audio_features,4gfy7YJg7jlhCx25aMRD6a,spotify:track:4gfy7YJg7jlhCx25aMRD6a,https://api.spotify.com/v1/tracks/4gfy7YJg7jlhCx25aMRD6a,https://api.spotify.com/v1/audio-analysis/4gfy7YJg7jlhCx25aMRD6a,288227,4
Kisetsu no Naka de,0.42,0.563,5,-8.781,0,0.0509,0.214,0,0.127,0.417,110.216,audio_features,1ruDfEZ4Gh5Hvfpo3r9C3I,spotify:track:1ruDfEZ4Gh5Hvfpo3r9C3I,https://api.spotify.com/v1/tracks/1ruDfEZ4Gh5Hvfpo3r9C3I,https://api.spotify.com/v1/audio-analysis/1ruDfEZ4Gh5Hvfpo3r9C3I,194618,4
お願い,0.598,0.412,2,-9.749,1,0.0252,0.616,0.00142,0.181,0.381,133.958,audio_features,5mb2QpaZdvadhCPdgQ2GeH,spotify:track:5mb2QpaZdvadhCPdgQ2GeH,https://api.spotify.com/v1/tracks/5mb2QpaZdvadhCPdgQ2GeH,https://api.spotify.com/v1/audio-analysis/5mb2QpaZdvadhCPdgQ2GeH,313333,4
大空と大地の中で,0.424,0.442,5,-8.728,1,0.0288,0.537,1.37e-06,0.376,0.285,139.77,audio_features,1MCuBDmwxC3DZ6ZolNQwbx,spotify:track:1MCuBDmwxC3DZ6ZolNQwbx,https://api.spotify.com/v1/tracks/1MCuBDmwxC3DZ6ZolNQwbx,https://api.spotify.com/v1/audio-analysis/1MCuBDmwxC3DZ6ZolNQwbx,220400,4
